"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
scid_p8,scid_score_sheet,"* Note: Specific disorders are listed below for disorder categories marked 'yes' in SCID High Level Screener</em>

<center>  Bipolar and related disorders </center>",dropdown,"Bipolar I Disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information","1, Absent 2, Sub-threshold 3, Threshold 99, inadequate information ",,,,,,y,,,,,
scid_p9,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Bipolar I Disorder I (current) </div>","1, absent | 3, present",,,,,,"[scid_p8] = ""3"" ",y,,,,,
scid_p10,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Bipolar I Disorder - current or most recent episode </div>","1, manic | 2, hypomanic | 3, depressed | 4, unspecified",,,,,,"[scid_p9] = ""3"" ",y,,,,,
scid_p11,scid_score_sheet,,dropdown,"Bipolar II Disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p12,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Bipolar II Disorder (current) </div>","1, absent | 3, present",,,,,,,y,,,,,
scid_p13,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Bipolar II Disorder - current or most recent episode </div>","1, hypomanic | 2, depressed",,,,,,"[scid_p12] = ""3""",y,,,,,
scid_p14,scid_score_sheet,,dropdown,"Cyclothymic disorder (current)","1, absent | 3, present",,,,,,,y,,,,,
scid_p15,scid_score_sheet,,dropdown,"Other specified Bipolar disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p16,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Other specified Bipolar Disorder (current) </div>","1, absent | 3, present",,,,,,"[scid_p15] = ""3""",y,,,,,
scid_p17,scid_score_sheet,,dropdown,"Bipolar Disorder due to another medical condition (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p18,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Bipolar Disorder due to another medical condition (current) </div>","1, absent | 3, present",,,,,,"[scid_p17] = ""3""",y,,,,,
scip_p18a,scid_score_sheet,,text,"<div style=""margin-left: 5em;"">  Specify AMC: </div>",,,,,,,"[scid_p17] = ""3""",y,,,,,
scid_p19,scid_score_sheet,,dropdown,"Substance/medication-induced bipolar disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p20,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> 
 Substance/medication-induced bipolar disorder (current) </div>","1, absent | 3, present",,,,,,"[scid_p19] = ""3""",y,,,,,
scid_p20a,scid_score_sheet,,text,"<div style=""margin-left: 5em;"">  Specify substance: </div>",,,,,,,"[scid_p19] = ""3""",y,,,,,
scid_p21,scid_score_sheet,"<center>  Depressive Disorders </center>",dropdown,"Major depressive disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p22,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Major depressive disorder (current) </div>","1, absent | 3, present",,,,,,"[scid_p21] = '3'",y,,,,,
scid_p23,scid_score_sheet,,dropdown,"Persistent depressive disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p24,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Persistent depressive disorder (current) </div>","1, absent | 3, present",,,,,,"[scid_p23] = ""3""",y,,,,,
scid_p26,scid_score_sheet,,dropdown,"Other specified depressive disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p27,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Other specified depressive disorder (current) </div>","1, absent | 3, present",,,,,,"[scid_p26] = ""3""",y,,,,,
scid_p28,scid_score_sheet,,dropdown,"Depressive disorder due to another medical condition (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p29,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Depressive disorder due to another medical condition (current) </div>","1, absent | 3, present",,,,,,"[scid_p28] = ""3""",y,,,,,
sicd_p28a,scid_score_sheet,,text,"<div style=""margin-left: 5em;"">  Specify AMC: </div>",,,,,,,"[scid_p28] = ""3""",y,,,,,
scid_p30,scid_score_sheet,,dropdown,"Substance/medication-induced depressive disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p31,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> 
 Substance/medication-induced depressive disorder (current) </div>","1, absent | 3, present",,,,,,"[scid_p30] = ""3""",y,,,,,
scid_p30a,scid_score_sheet,,text,"<div style=""margin-left: 5em;"">  Specify substance: </div>",,,,,,,"[scid_p30] = ""3""",y,,,,,
scid_p32,scid_score_sheet,"<center> Schizophrenia and psychotic disorders </center>",dropdown,"Schizophrenia (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p33,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Schizophrenia (current) </div>","1, absent | 3, present",,,,,,"[scid_p32] = ""3""",y,,,,,
scid_p34,scid_score_sheet,,dropdown," Schizophreniform disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p35,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Schizophreniform disorder (current) </div>","1, absent | 3, present",,,,,," [scid_p34] = '3'",y,,,,,
scid_p36,scid_score_sheet,,dropdown,"Schizoaffective disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p37,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Schizoaffective disorder (current) </div>","1, absent | 3, present",,,,,," [scid_p36] = ""3""",y,,,,,
scid_p38,scid_score_sheet,,dropdown,"Delusional disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p39,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> 
Delusional disorder (current)</div>","1, absent | 3, present",,,,,," [scid_p38] = ""3""",y,,,,,
scid_p40,scid_score_sheet,,dropdown,"Brief psychotic disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p41,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Brief psychotic disorder (current) </div>","1, absent | 3, present",,,,,," [scid_p40] = ""3""",y,,,,,
scid_p42,scid_score_sheet,,dropdown,"Psychotic disorder due to another medical condition (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p43,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Psychotic disorder due to another medical condition (current)</div>","1, absent | 3, present",,,,,," [scid_p42] = ""3""",y,,,,,
